Role,Business_Type,City_Tier,Revenue,Purchase_Frequency,Packaging_Types,Decision_Method,Data_Tracked,Dashboard_Comfort,Challenges,Issue_Frequency,Monthly_Loss,Failure_Rate,Preferences,Priority,Triggers,Packaging_Spend,Packaging_Cost_Percent,Cost_Sensitivity,Decision_Maker,Features_Needed,Willingness_to_Pay,Interest
Operations,FMCG,Tier1,<5L,Monthly,"Biodegradable, Glass",Vendor,Supplier,High,Breakage,Weekly,5K-20K,Medium,"Biodegradable, Premium, Recyclable",Branding,"Supplier Issues, Complaints, Cost Increase",<10K,10-20%,Low,Multiple,Sustainability,Not Sure,Maybe
Finance,Restaurant,Tier1,5L-20L,Daily,"Plastic, Paper, Flexible",Experience,"Supplier, Failures, Inventory",Medium,"Breakage, Wastage",Daily,1L+,High,Biodegradable,Quality,Regulation,10K-50K,10-20%,Medium,Owner,Cost Dashboard,Likely,No
Operations,Cloud Kitchen,Tier2,<5L,Daily,Plastic,Experience,"Failures, Inventory",Medium,"Wastage, High Cost",Monthly,<5K,Medium,"Biodegradable, Plastic, Premium",Cost,"Sustainability, Supplier Issues, Complaints",<10K,5-10%,Low,Owner,Performance,Not Sure,No
Operations,Cloud Kitchen,Tier1,20L-1Cr,Monthly,"Plastic, Paper",Vendor,"Cost, Failures",High,"Supplier Issues, Wastage, High Cost",Rare,<5K,Medium,"Plastic, Recyclable, Paper",Branding,"Complaints, Sustainability",50K-2L,5-10%,Low,Multiple,"Performance, Forecasting",Not Sure,Maybe
Procurement,FMCG,Tier1,5L-20L,Daily,"Glass, Flexible, Paper",Vendor,Inventory,High,"High Cost, Sustainability",Monthly,<5K,Low,"Biodegradable, Paper, Recyclable",Branding,"Sustainability, Supplier Issues, Complaints",10K-50K,5-10%,Medium,Operations,"Forecasting, Supplier Analytics, Performance",Unlikely,Maybe
Owner,Restaurant,Tier2,20L-1Cr,Weekly,"Glass, Paper, Biodegradable",Vendor,"Supplier, Failures",High,"Storage, Wastage, Supplier Issues",Daily,20K-1L,,Recyclable,Sustainability,"Regulation, Cost Increase, Sustainability",2L-10L,<5%,Medium,Owner,"Forecasting, Cost Dashboard",Likely,Maybe
Owner,FMCG,Tier1,<5L,Daily,Glass,Vendor,Failures,High,Sustainability,Weekly,5K-20K,Low,"Biodegradable, Premium",Sustainability,"Cost Increase, Complaints, Sustainability",<10K,20-30%,High,Operations,Sustainability,Not Sure,No
Procurement,Restaurant,Tier3,20L-1Cr,Weekly,Plastic,Excel,Cost,Medium,"Supplier Issues, Breakage, High Cost",Weekly,5K-20K,Medium,"Recyclable, Premium, Plastic",Quality,Cost Increase,50K-2L,10-20%,Medium,Finance,"Forecasting, Cost Dashboard, Performance",Not Sure,No
Owner,Cloud Kitchen,Tier1,<5L,Bulk,Plastic,Vendor,Supplier,High,"High Cost, Sustainability",Weekly,5K-20K,Medium,Biodegradable,Branding,"Cost Increase, Sustainability",<10K,5-10%,High,Finance,Forecasting,Not Sure,No
Procurement,Restaurant,Tier2,1Cr+,Daily,"Plastic, Paper",Vendor,"Failures, Cost, Supplier",Medium,"Sustainability, Storage",Monthly,<5K,Low,"Recyclable, Biodegradable",Quality,"Sustainability, Supplier Issues, Regulation",10L+,5-10%,Low,Owner,"Cost Dashboard, Forecasting, Performance",Likely,Maybe
Operations,FMCG,Tier2,<5L,Monthly,"Biodegradable, Glass, Flexible",ERP,"Supplier, Inventory, Cost",High,Supplier Issues,Weekly,20K-1L,Medium,"Premium, Recyclable",Quality,"Complaints, Cost Increase",<10K,10-20%,High,Multiple,"Supplier Analytics, Cost Dashboard",Likely,Yes
Owner,Cloud Kitchen,Tier1,1Cr+,Daily,"Plastic, Paper, Glass",Experience,"Failures, Supplier, Cost",High,"Storage, Supplier Issues, Wastage",Monthly,<5K,Medium,Recyclable,Quality,"Regulation, Sustainability, Complaints",10L+,20-30%,High,Operations,"Supplier Analytics, Sustainability, Performance",Likely,Maybe
Owner,Supplier,Tier3,5L-20L,Weekly,"Paper, Glass",Experience,,Medium,High Cost,Monthly,5K-20K,Medium,Paper,Branding,"Cost Increase, Complaints, Regulation",50K-2L,10-20%,Low,Multiple,Cost Dashboard,Not Sure,No
Owner,Cloud Kitchen,Tier1,20L-1Cr,Monthly,"Paper, Glass",No Process,"Cost, Failures, Supplier",High,"Breakage, High Cost",Monthly,5K-20K,High,"Plastic, Biodegradable, Recyclable",Sustainability,"Cost Increase, Sustainability",2L-10L,20-30%,High,Finance,"Performance, Sustainability, Supplier Analytics",Likely,No
Owner,Manufacturer,Tier2,5L-20L,Bulk,"Paper, Flexible",Experience,"Inventory, Supplier",High,"Supplier Issues, Wastage",Daily,20K-1L,Medium,"Premium, Plastic",Sustainability,"Complaints, Cost Increase, Supplier Issues",10K-50K,20-30%,High,Multiple,"Sustainability, Performance, Forecasting",Very Likely,Yes
Owner,Restaurant,Tier1,20L-1Cr,Daily,"Paper, Flexible, Biodegradable",Excel,"Failures, Cost",Medium,"Storage, High Cost, Wastage",Rare,<5K,High,"Plastic, Biodegradable",Quality,Sustainability,2L-10L,20-30%,High,Multiple,Cost Dashboard,Likely,Maybe
Owner,Restaurant,Tier2,5L-20L,Weekly,"Glass, Plastic, Paper",Vendor,"Cost, Inventory, Failures",Medium,"Wastage, Sustainability",Monthly,<5K,Medium,"Biodegradable, Premium",Quality,"Supplier Issues, Regulation",10K-50K,5-10%,High,Multiple,"Sustainability, Forecasting",Likely,Maybe
Owner,FMCG,Tier1,5L-20L,Monthly,"Flexible, Biodegradable, Glass",Vendor,"Failures, Supplier",Medium,"Supplier Issues, Storage",Weekly,20K-1L,,Plastic,Branding,"Complaints, Sustainability",10K-50K,5-10%,Medium,Owner,"Forecasting, Cost Dashboard, Performance",Likely,No
Owner,Supplier,Tier1,<5L,Monthly,Paper,No Process,"Inventory, Cost",High,"Sustainability, Supplier Issues, High Cost",Monthly,<5K,Medium,Biodegradable,Quality,"Sustainability, Regulation, Supplier Issues",<10K,10-20%,Medium,Finance,Performance,Likely,No
Procurement,Restaurant,Tier1,5L-20L,Monthly,"Glass, Biodegradable",Excel,"Failures, Cost, Supplier",High,"Sustainability, Supplier Issues",Weekly,5K-20K,Medium,"Premium, Biodegradable, Paper",Sustainability,Regulation,10K-50K,30%+,High,Finance,"Sustainability, Forecasting, Performance",Not Sure,No
Owner,FMCG,Tier1,20L-1Cr,Weekly,Biodegradable,Experience,Cost,High,"Wastage, Breakage, Supplier Issues",Monthly,<5K,Low,"Premium, Paper",Cost,Regulation,50K-2L,10-20%,High,Multiple,"Sustainability, Forecasting",Likely,No
Owner,Cloud Kitchen,Tier2,20L-1Cr,Bulk,"Biodegradable, Flexible",No Process,Failures,High,"Storage, Sustainability",Monthly,<5K,Low,"Paper, Plastic",Sustainability,Complaints,50K-2L,20-30%,Medium,Owner,"Sustainability, Performance",Likely,No
Operations,Cloud Kitchen,Tier1,5L-20L,Daily,Biodegradable,ERP,"Inventory, Failures, Cost",Medium,"Supplier Issues, High Cost, Sustainability",Weekly,5K-20K,Medium,"Biodegradable, Plastic, Recyclable",Branding,Sustainability,50K-2L,10-20%,High,Operations,"Sustainability, Performance",Likely,No
Operations,Restaurant,Tier3,20L-1Cr,Monthly,"Glass, Biodegradable",No Process,Supplier,Medium,"High Cost, Wastage",Weekly,20K-1L,Medium,Plastic,Sustainability,"Regulation, Supplier Issues",50K-2L,5-10%,High,Multiple,"Supplier Analytics, Forecasting",Very Likely,Yes
Owner,FMCG,Tier1,5L-20L,Monthly,"Paper, Flexible",Experience,Inventory,Medium,"High Cost, Supplier Issues, Sustainability",Weekly,5K-20K,Low,Premium,Branding,"Complaints, Sustainability, Supplier Issues",50K-2L,5-10%,High,Owner,Supplier Analytics,Not Sure,Maybe
Owner,Restaurant,Tier1,5L-20L,Weekly,"Plastic, Flexible",Excel,Inventory,Medium,"Breakage, Supplier Issues",Weekly,5K-20K,High,Recyclable,Cost,Regulation,50K-2L,10-20%,Low,Multiple,Sustainability,Not Sure,Maybe
Owner,FMCG,Tier1,5L-20L,Monthly,Paper,Experience,Failures,Medium,"Sustainability, Wastage",Rare,<5K,Medium,"Paper, Recyclable",Cost,Sustainability,50K-2L,30%+,High,Finance,"Cost Dashboard, Supplier Analytics",Not Sure,No
Owner,Cloud Kitchen,Tier2,<5L,Weekly,Glass,Excel,Cost,Medium,Breakage,Daily,1L+,Medium,"Paper, Biodegradable, Premium",Cost,"Sustainability, Regulation",<10K,10-20%,High,Finance,"Forecasting, Performance",Very Likely,Yes
Finance,Restaurant,Tier2,<5L,Weekly,Biodegradable,Vendor,"Supplier, Failures, Cost",Medium,"Wastage, High Cost",Daily,1L+,,"Recyclable, Premium, Biodegradable",Sustainability,Cost Increase,<10K,20-30%,Low,Operations,Cost Dashboard,Very Likely,Maybe
Operations,FMCG,Tier2,20L-1Cr,Daily,Flexible,ERP,"Cost, Failures, Inventory",Medium,"Wastage, Storage",Rare,<5K,Medium,"Recyclable, Biodegradable, Plastic",Branding,Regulation,2L-10L,10-20%,High,Multiple,Performance,Likely,Maybe
Operations,Restaurant,Tier3,<5L,Bulk,"Paper, Glass",Experience,Failures,High,"Sustainability, Wastage, Storage",Weekly,20K-1L,Medium,"Paper, Recyclable, Plastic",Sustainability,"Regulation, Cost Increase, Supplier Issues",<10K,10-20%,High,Operations,"Forecasting, Sustainability, Cost Dashboard",Likely,Yes
Operations,Manufacturer,Tier1,5L-20L,Bulk,Flexible,Excel,"Supplier, Cost",Medium,Sustainability,Monthly,5K-20K,Low,Biodegradable,Quality,Sustainability,10K-50K,10-20%,High,Finance,"Sustainability, Cost Dashboard, Forecasting",Not Sure,No
Owner,Cloud Kitchen,Tier2,20L-1Cr,Weekly,Biodegradable,ERP,"Failures, Supplier, Inventory",High,Storage,Monthly,<5K,High,"Plastic, Biodegradable, Premium",Sustainability,"Supplier Issues, Cost Increase",50K-2L,10-20%,High,Owner,"Forecasting, Sustainability",Not Sure,No
Operations,Restaurant,Tier3,5L-20L,Monthly,"Flexible, Paper",No Process,"Cost, Failures, Inventory",High,"Sustainability, Storage",Weekly,20K-1L,High,"Paper, Recyclable, Plastic",Quality,"Complaints, Sustainability, Regulation",10K-50K,5-10%,High,Multiple,Performance,Very Likely,Yes
Finance,Restaurant,Tier2,5L-20L,Bulk,"Flexible, Biodegradable",Experience,,Medium,Sustainability,Weekly,20K-1L,,"Biodegradable, Paper, Premium",Sustainability,Supplier Issues,10K-50K,<5%,High,Finance,"Supplier Analytics, Forecasting",Very Likely,Yes
Operations,FMCG,Tier2,<5L,Bulk,"Plastic, Glass, Flexible",Excel,"Cost, Supplier",High,"Supplier Issues, Storage, Sustainability",Weekly,5K-20K,Low,"Paper, Biodegradable",Branding,"Regulation, Cost Increase, Supplier Issues",<10K,30%+,Medium,Multiple,"Cost Dashboard, Performance",Likely,No
Owner,Restaurant,Tier3,5L-20L,Daily,"Paper, Biodegradable",No Process,,Medium,"High Cost, Sustainability",Monthly,<5K,Medium,Recyclable,Cost,"Supplier Issues, Complaints, Sustainability",10K-50K,30%+,Low,Operations,"Performance, Sustainability, Forecasting",Likely,Maybe
Operations,Restaurant,Tier2,<5L,Monthly,Plastic,Vendor,Failures,High,"Wastage, Breakage",Rare,<5K,High,"Recyclable, Premium, Paper",Quality,"Supplier Issues, Regulation, Complaints",<10K,5-10%,Low,Finance,"Cost Dashboard, Sustainability",Not Sure,No
Procurement,Cloud Kitchen,Tier2,<5L,Daily,"Paper, Biodegradable",ERP,,Low,"High Cost, Storage",Weekly,5K-20K,Low,Recyclable,Branding,Sustainability,<10K,20-30%,Medium,Multiple,Forecasting,Not Sure,No
Operations,Manufacturer,Tier2,<5L,Daily,Plastic,Experience,,Low,Sustainability,Daily,20K-1L,Medium,"Plastic, Recyclable, Paper",Sustainability,Supplier Issues,<10K,<5%,High,Owner,"Supplier Analytics, Sustainability, Cost Dashboard",Very Likely,Yes
Owner,Cloud Kitchen,Tier2,<5L,Monthly,Paper,No Process,"Inventory, Cost",High,"Sustainability, Supplier Issues",Daily,20K-1L,Medium,Paper,Cost,"Complaints, Supplier Issues, Sustainability",<10K,10-20%,High,Owner,Cost Dashboard,Very Likely,Yes
Operations,Manufacturer,Tier1,5L-20L,Daily,"Paper, Glass",Vendor,"Failures, Supplier, Inventory",High,"Supplier Issues, Storage, High Cost",Rare,5K-20K,Medium,Plastic,Quality,Complaints,50K-2L,10-20%,High,Operations,Cost Dashboard,Unlikely,No
Operations,Cloud Kitchen,Tier1,20L-1Cr,Weekly,Biodegradable,Excel,Inventory,Medium,Storage,Daily,20K-1L,High,"Paper, Premium, Plastic",Branding,"Cost Increase, Sustainability, Complaints",50K-2L,5-10%,High,Operations,"Forecasting, Performance, Cost Dashboard",Very Likely,Yes
Owner,FMCG,Tier2,<5L,Daily,Biodegradable,Experience,,Low,High Cost,Weekly,20K-1L,Medium,"Paper, Plastic",Cost,Regulation,<10K,5-10%,Low,Operations,Sustainability,Very Likely,Yes
Operations,Cloud Kitchen,Tier1,1Cr+,Weekly,Paper,Experience,"Failures, Cost, Inventory",High,"High Cost, Wastage",Weekly,5K-20K,Low,"Premium, Paper, Biodegradable",Branding,"Supplier Issues, Sustainability",10L+,<5%,High,Owner,"Cost Dashboard, Forecasting, Supplier Analytics",Likely,Maybe
Operations,Supplier,Tier2,<5L,Daily,"Paper, Glass",Excel,Supplier,Medium,"Storage, Sustainability, Supplier Issues",Weekly,5K-20K,,"Premium, Recyclable, Paper",Quality,"Regulation, Cost Increase",<10K,10-20%,Medium,Finance,Sustainability,Likely,Maybe
Finance,Cloud Kitchen,Tier1,5L-20L,Bulk,"Flexible, Glass",No Process,,Low,"Sustainability, Supplier Issues, Wastage",Weekly,20K-1L,High,"Biodegradable, Paper, Premium",Cost,"Complaints, Sustainability",50K-2L,10-20%,High,Operations,"Performance, Sustainability",Very Likely,Yes
Procurement,FMCG,Tier1,5L-20L,Weekly,"Glass, Paper",Vendor,,Low,"Supplier Issues, Wastage",Weekly,5K-20K,High,"Plastic, Paper, Premium",Branding,Cost Increase,10K-50K,20-30%,High,Multiple,"Sustainability, Performance",Unlikely,No
Operations,Restaurant,Tier2,20L-1Cr,Monthly,"Biodegradable, Flexible",Excel,"Inventory, Cost, Failures",High,"Storage, Sustainability, Wastage",Daily,20K-1L,Medium,"Recyclable, Biodegradable, Paper",Sustainability,Complaints,50K-2L,20-30%,High,Finance,"Sustainability, Cost Dashboard",Very Likely,Yes
Finance,FMCG,Tier2,<5L,Bulk,"Plastic, Paper",ERP,"Inventory, Supplier, Cost",Medium,"Sustainability, Breakage",Monthly,<5K,Medium,"Plastic, Recyclable",Branding,Sustainability,<10K,30%+,High,Multiple,Sustainability,Not Sure,Maybe
Operations,Cloud Kitchen,Tier2,5L-20L,Bulk,"Flexible, Plastic",Vendor,,Medium,Storage,Monthly,<5K,,Plastic,Cost,"Sustainability, Complaints",10K-50K,10-20%,Low,Multiple,"Cost Dashboard, Sustainability",Unlikely,Maybe
Owner,Manufacturer,Tier1,5L-20L,Daily,"Plastic, Flexible, Paper",No Process,"Failures, Inventory",High,Wastage,Weekly,5K-20K,Medium,"Paper, Premium",Cost,"Supplier Issues, Cost Increase",10K-50K,10-20%,High,Finance,Sustainability,Not Sure,No
Operations,Cloud Kitchen,Tier2,20L-1Cr,Weekly,Biodegradable,ERP,"Supplier, Inventory, Cost",High,"Supplier Issues, Storage, High Cost",Weekly,5K-20K,Medium,Biodegradable,Sustainability,"Sustainability, Regulation",50K-2L,5-10%,Medium,Owner,Supplier Analytics,Unlikely,No
Owner,Restaurant,Tier3,20L-1Cr,Weekly,"Glass, Flexible, Plastic",Excel,Failures,Medium,"Supplier Issues, Storage, Breakage",Monthly,<5K,Medium,"Premium, Biodegradable",Sustainability,"Supplier Issues, Cost Increase",50K-2L,5-10%,Medium,Multiple,"Sustainability, Forecasting",Likely,Maybe
Operations,Cloud Kitchen,Tier3,5L-20L,Daily,Glass,Vendor,"Inventory, Cost",High,"Wastage, Sustainability",Weekly,5K-20K,Medium,Plastic,Sustainability,"Supplier Issues, Complaints",10K-50K,<5%,Low,Multiple,Performance,Not Sure,Maybe
Owner,Supplier,Tier1,5L-20L,Weekly,"Paper, Plastic",Excel,"Failures, Inventory",High,"Breakage, Storage, High Cost",Monthly,<5K,,"Recyclable, Premium",Branding,"Supplier Issues, Sustainability, Regulation",10K-50K,20-30%,High,Owner,Performance,Not Sure,Maybe
Operations,Cloud Kitchen,Tier2,20L-1Cr,Bulk,Biodegradable,ERP,"Inventory, Supplier",Medium,"Sustainability, High Cost",Monthly,<5K,,"Biodegradable, Paper, Plastic",Sustainability,"Complaints, Regulation, Cost Increase",50K-2L,5-10%,High,Operations,"Supplier Analytics, Cost Dashboard, Sustainability",Likely,No
Finance,FMCG,Tier1,1Cr+,Monthly,"Flexible, Glass, Biodegradable",No Process,"Failures, Inventory",High,"Breakage, Storage, Supplier Issues",Daily,1L+,Medium,"Plastic, Paper, Recyclable",Branding,"Regulation, Complaints",10L+,20-30%,Medium,Owner,"Forecasting, Cost Dashboard, Sustainability",Very Likely,Maybe
Owner,Restaurant,Tier2,20L-1Cr,Daily,"Biodegradable, Glass, Flexible",Experience,Inventory,Medium,Supplier Issues,Daily,1L+,High,"Paper, Plastic",Quality,"Sustainability, Complaints",50K-2L,10-20%,High,Owner,"Sustainability, Forecasting",Very Likely,Maybe
Owner,Cloud Kitchen,Tier2,<5L,Daily,"Flexible, Plastic",ERP,"Cost, Supplier, Inventory",High,Supplier Issues,Daily,1L+,Low,"Plastic, Biodegradable, Premium",Sustainability,"Complaints, Cost Increase, Regulation",<10K,10-20%,High,Operations,"Forecasting, Supplier Analytics, Sustainability",Likely,Yes
Operations,Cloud Kitchen,Tier2,5L-20L,Weekly,Biodegradable,Experience,"Failures, Supplier",Medium,"Breakage, Supplier Issues, Sustainability",Rare,<5K,Medium,"Biodegradable, Recyclable",Branding,"Regulation, Supplier Issues, Complaints",10K-50K,5-10%,Low,Multiple,Forecasting,Unlikely,No
Finance,Supplier,Tier1,20L-1Cr,Daily,"Paper, Biodegradable, Plastic",Experience,Failures,Medium,Breakage,Weekly,20K-1L,Medium,"Premium, Paper",Cost,"Regulation, Complaints",50K-2L,10-20%,Low,Owner,Forecasting,Likely,No
Owner,Restaurant,Tier2,<5L,Bulk,Paper,Excel,"Cost, Inventory",Medium,"Wastage, Storage",Daily,1L+,High,"Biodegradable, Premium, Recyclable",Quality,"Cost Increase, Sustainability, Supplier Issues",<10K,5-10%,Medium,Finance,Performance,Very Likely,Maybe
Owner,Cloud Kitchen,Tier2,20L-1Cr,Daily,Flexible,ERP,"Cost, Inventory, Failures",Medium,High Cost,Monthly,<5K,Medium,Plastic,Quality,"Regulation, Complaints, Cost Increase",2L-10L,20-30%,High,Finance,"Performance, Sustainability",Likely,Maybe
Operations,Cloud Kitchen,Tier2,5L-20L,Bulk,"Flexible, Paper, Glass",ERP,Inventory,Medium,"Wastage, High Cost, Supplier Issues",Weekly,20K-1L,Medium,"Premium, Recyclable, Plastic",Quality,"Supplier Issues, Sustainability, Cost Increase",10K-50K,20-30%,High,Operations,Cost Dashboard,Likely,Yes
Operations,Cloud Kitchen,Tier2,5L-20L,Bulk,"Glass, Flexible",No Process,"Cost, Failures, Inventory",Medium,Sustainability,Rare,<5K,High,Premium,Cost,"Sustainability, Complaints, Supplier Issues",10K-50K,5-10%,High,Owner,Supplier Analytics,Not Sure,No
Owner,Restaurant,Tier2,<5L,Daily,Paper,Vendor,,Low,"Breakage, Wastage",Daily,1L+,Low,Biodegradable,Cost,"Supplier Issues, Cost Increase",<10K,30%+,High,Finance,"Forecasting, Supplier Analytics, Sustainability",Very Likely,Yes
Procurement,Restaurant,Tier2,<5L,Bulk,"Biodegradable, Flexible, Plastic",No Process,"Supplier, Failures",Medium,"Sustainability, Supplier Issues",Rare,5K-20K,Medium,Biodegradable,Sustainability,"Cost Increase, Supplier Issues",<10K,20-30%,Medium,Operations,"Performance, Sustainability, Cost Dashboard",Not Sure,No
Owner,Manufacturer,Tier2,<5L,Bulk,"Biodegradable, Flexible",Vendor,"Failures, Supplier, Inventory",High,Supplier Issues,Monthly,<5K,,Recyclable,Sustainability,"Regulation, Supplier Issues",<10K,10-20%,High,Finance,"Sustainability, Cost Dashboard",Not Sure,Maybe
Procurement,Manufacturer,Tier3,<5L,Weekly,"Paper, Biodegradable, Flexible",Experience,Cost,High,High Cost,Monthly,<5K,High,"Biodegradable, Plastic",Cost,"Regulation, Sustainability",<10K,20-30%,Low,Owner,"Performance, Cost Dashboard, Sustainability",Likely,No
Operations,Cloud Kitchen,Tier1,1Cr+,Weekly,"Flexible, Paper",No Process,"Cost, Inventory",Medium,"Storage, Wastage, Sustainability",Rare,<5K,Low,Premium,Branding,"Complaints, Sustainability, Regulation",10L+,10-20%,High,Operations,"Forecasting, Cost Dashboard",Likely,No
Owner,Cloud Kitchen,Tier1,5L-20L,Daily,"Flexible, Biodegradable",No Process,Failures,Medium,"Wastage, Breakage",Weekly,5K-20K,Low,"Biodegradable, Recyclable, Premium",Quality,Supplier Issues,10K-50K,10-20%,Low,Finance,"Cost Dashboard, Supplier Analytics",Unlikely,Maybe
Operations,Manufacturer,Tier1,<5L,Monthly,Glass,ERP,"Cost, Inventory",Medium,Supplier Issues,Weekly,5K-20K,Medium,"Premium, Plastic",Quality,"Complaints, Cost Increase, Sustainability",<10K,20-30%,High,Finance,Cost Dashboard,Likely,No
Owner,Cloud Kitchen,Tier2,5L-20L,Daily,"Paper, Plastic",No Process,"Supplier, Cost, Failures",High,"Breakage, High Cost, Supplier Issues",Daily,20K-1L,Low,"Paper, Plastic, Recyclable",Branding,"Regulation, Supplier Issues",10K-50K,20-30%,High,Owner,Cost Dashboard,Very Likely,Yes
Operations,Restaurant,Tier1,1Cr+,Daily,"Glass, Paper, Plastic",No Process,Inventory,High,"Wastage, Supplier Issues, High Cost",Rare,<5K,Medium,Biodegradable,Cost,"Regulation, Cost Increase, Supplier Issues",10L+,10-20%,High,Owner,"Performance, Cost Dashboard, Sustainability",Very Likely,Yes
Owner,FMCG,Tier1,1Cr+,Monthly,Plastic,ERP,"Supplier, Failures",High,Supplier Issues,Daily,20K-1L,High,"Paper, Premium, Recyclable",Cost,"Cost Increase, Complaints",10L+,5-10%,Low,Operations,Cost Dashboard,Very Likely,Maybe
Owner,Cloud Kitchen,Tier1,20L-1Cr,Weekly,"Biodegradable, Plastic",No Process,Cost,High,Breakage,Weekly,5K-20K,Low,"Plastic, Premium, Recyclable",Cost,"Cost Increase, Supplier Issues, Regulation",2L-10L,20-30%,Low,Operations,Performance,Very Likely,Maybe
Owner,Restaurant,Tier1,5L-20L,Bulk,"Biodegradable, Plastic",Experience,"Cost, Supplier",Medium,Sustainability,Monthly,<5K,,"Paper, Recyclable",Sustainability,Supplier Issues,50K-2L,10-20%,High,Owner,"Forecasting, Sustainability",Not Sure,No
Procurement,Restaurant,Tier2,20L-1Cr,Bulk,"Biodegradable, Flexible, Paper",No Process,"Failures, Supplier",Medium,"High Cost, Storage",Daily,20K-1L,Medium,"Plastic, Biodegradable",Branding,Cost Increase,50K-2L,10-20%,Low,Operations,"Cost Dashboard, Supplier Analytics, Forecasting",Very Likely,Maybe
